"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central Europe and the Baltics","CEB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29016.7659498071","28569.8307729834","29583.2825987503","31037.3643522841","32828.9641877528","34425.3335836923","34850.0070387282","35775.7233583229","37036.933424924","39458.1767883078","41168.757544263","44188.9367534734","45834.5474726549","48636.9749540303","50561.3918033559","52664.5269190676","54732.3238392888","56150.9568199358","55273.6521756367","56618.0536587978","58733.4269976826","59053.4895082466","59850.779423303","60558.27400608","62251.5284576456","63397.5912447108","65149.7784494044","67490.5727448164","70217.8330730258",
"Switzerland","CHE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97683.7242036978","97936.8832727967","98133.5032760198","100280.563309855","99973.9843085695","99818.908000271","102680.231807718","103898.425903849","104567.306213907","108185.600987897","107855.698375717","107501.13712126","107633.541757053","110645.289794386","113581.890649829","115794.434326346","118133.43837232","117519.08304632","114020.144953086","119103.230867855","118243.355307223","118023.705664808","119017.156384331","119807.323039061","119573.409743606","119891.39864274","121150.249910357","123516.642878514","123886.463979574",
"Channel Islands","CHI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27737.5738179832","29704.6775348029","30943.8549095113","32230.0624012955","33796.9640930985","36291.9590450469","37975.6311568958","38882.0530060378","39733.9863369307","41252.295936709","42344.3775180917","43076.7590576155","43382.833730377","45263.2362579907","46078.0092757799","47339.058645142","47927.6224600862","48011.3622696944","47634.6378168126","47690.1052175493","48314.8249133532","49861.3601123915","50830.8792947313","51037.5861368736","51260.2204313292","51454.5793938507","51014.3047495361","52152.709874399","51703.475954838",
"China","CHN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2783.34672472058","3127.42244327969","3509.76150570102","3912.69229899755","4290.30074214329","4637.51254941218","5012.5718893313","5361.19537798951","5719.78407862302","6131.44107673548","6643.09079524852","7222.09497507295","7898.28285108452","8615.35573833855","9537.17101914632","10679.7456322348","12136.9226318362","13303.5712615683","14549.5756267709","16055.8391730471","17535.628539191","18860.2782465124","20279.487260523","21748.6794538244","23257.9219750135","24815.0110504628","26516.7527954934","28308.7553948121","30142.6144371611",
"Cote d'Ivoire","CIV","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12519.669740848","12047.639102532","11483.0819454371","11058.4321370679","11348.9548930658","11867.3640155612","11943.6371265278","12173.7769082194","12117.7281052024","11634.233667444","11516.4818663783","11216.7766052774","10961.0766713329","10984.6403962046","11051.0411369226","11072.8175504683","11110.1135679151","11231.5499586621","11471.1641839793","11540.9351446638","10861.0190283076","11832.0645866663","12243.7615126448","12973.6583626262","13755.5844419282","14381.212278742","15128.7673401625","15702.7034462205","16321.5109231382",
"Cameroon","CMR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7319.28496495323","6893.87311844567","6170.23038618954","6122.021952704","6152.22662414116","6246.61469064023","6382.00100535144","6473.36534722048","6555.92376749916","6582.95942159662","6672.45090285766","6706.85873057532","6759.48089347122","6955.09583366215","6835.71237820689","6822.9516622987","6907.51173986858","7114.55960684123","7268.84556121118","7522.0126707854","7594.18509196537","7697.26314619455","7866.17770700229","8070.82175089465","8274.85279994033","8406.39412615191","8446.62158674251","8529.31723701751","8622.06370365445",
"Congo, Dem. Rep.","COD","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4266.15715071661","3669.09450834021","3049.53194444123","2824.39730314013","2751.84533984117","2651.70225786062","2440.57512059615","2345.36803029206","2191.20379329951","1984.93450484851","1891.11936011466","1893.0477294835","1940.43856405236","2008.48209150897","2065.61058173652","2144.90322437256","2245.54702597679","2350.62411883575","2388.83306785767","2524.90427541711","2667.79717683394","2824.57879917007","2968.12623268508","3144.39151918128","3251.79847287134","3221.18708846889","3230.24569563814","3305.04448302032","3345.65988663978",
"Congo, Rep.","COG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11573.7900815498","11533.8304823693","11091.7330056458","10143.3316187974","10215.806322087","10323.9878809449","9918.05940290769","9951.73595998174","9378.31201515739","9758.75794927061","9816.60942714196","9964.87986073724","9725.04048106683","9720.76695648394","10108.9858156949","10203.3398744461","9527.89478370425","9582.28411849968","9898.04418626685","10159.2850400106","9987.56085873426","9900.5995231237","10005.2185325623","10437.0990427857","10454.821331441","9890.41658260917","9441.51913564737","9329.18471424661","8972.98448883119",
"Colombia","COL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21757.9300618099","21864.4992132222","22010.0658396598","22755.8735370165","23409.5307601568","24159.4903748468","24451.8953905049","24842.4628112061","24864.3116122465","25131.5352069047","23338.3354425113","23584.6597298142","23406.033497565","24528.6969497095","24926.6999625882","26349.2059342509","27861.467817452","28022.8356888306","26930.4058990612","26946.5825156979","27750.7790428701","27864.4989804538","28760.8596595876","29365.7230167681","29447.7918599122","29747.4417783108","29708.1158797291","30105.5765130159","30658.2863616101",
"Comoros","COM","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12764.0845520192","13483.1036207758","13483.4318489616","12337.292242648","12404.439598768","11865.1998322405","11992.6605071738","11787.6403203032","11669.6399623759","12607.5355105768","12542.9552387085","12481.6730662701","12383.1350908296","12249.6341358702","12224.8678559076","12174.5911061994","11890.5430529108","12004.0151809977","12049.9457449339","12143.925722984","12277.9031998137","12296.2694270003","12477.7129853682","12347.4919468782","12099.312701894","12137.158047242","12231.02761227","12281.4873403567","12257.5115303716",
"Cabo Verde","CPV","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5830.3449863871","6308.40556880552","6680.57523753957","7742.29274552708","8599.18948034741","9352.44522495304","10144.477050156","11144.2729566237","12114.8719585728","13519.3293283432","13413.8068735794","13738.7207261659","13925.366016153","14905.7978961448","15456.2509382409","16112.6145490231","17909.2957351844","18463.5397621601","17734.6622233651","17500.0403403252","17745.6339166319","17531.5724371678","17311.1678387981","17074.3507486899","16941.9511521848","17437.798032559","17779.9039410753","18207.5681811248","18883.409396231",
